OPERATOR_ID,OPERATOR_NAME,REPORT_YEAR,MMILES_TOTAL,raw_risk,reliability_score
5470.0,"FORT STOCKTON MUNICIPAL SYSTEM, CITY OF",2024.0,122.0,1.2303605768212107,84.2
22873.0,"WOODVILLE, CITY OF",2025.0,43.0,1.2769259826568995,83.5
39795.0,"DOMINION PRIVATIZATION, TEXAS LLC",2025.0,155.73,1.2791444534652319,83.5
6830.0,GREY FOREST UTILITIES,2025.0,447.79,1.3389151399484607,82.7
17660.0,"ROMA GAS DEPT, CITY OF",2025.0,31.5,1.3472040506352663,82.6
32621.0,CITY OF MARFA,2025.0,25.903,1.381012988060473,82.1
1592.0,"BOERNE UTILITY, CITY OF",2025.0,99.52,1.388114179535777,82.0
7205.0,"HEMPHILL MUNICIPLE SYSTEM, CITY OF",2025.0,23.0,1.3881401803517168,82.0
15652.0,"PLAINS, CITY OF",2025.0,29.72,1.4005035508339831,81.9
17490.0,RISING STAR CITY UTILITIES,2025.0,22.0,1.406885580245136,81.8
558.0,APPLEBY NATURAL GAS SYSTEM,2024.0,63.84,1.4644934661430224,81.0
4499.0,CENTERPOINT ENERGY RESOURCES CORPORATION,2025.0,36643.21,1.496716548817108,80.6
13460.0,"NEWTON GAS SYSTEM, CITY OF",2025.0,26.18,1.5032086835030587,80.5
12798.0,"MORTON GAS SYSTEM, CITY OF",2025.0,39.0,1.5322413801785884,80.1
603.0,SUMMIT UTILITIES INC.,2025.0,414.89,1.578800533349474,79.4
39423.0,5M GAS,2025.0,36.94,1.6243095754168337,78.8
18104.0,CPS ENERGY,2025.0,6225.32,1.6355259358946024,78.7
18728.0,"SUNDOWN GAS SYSTEMS, CITY OF",2025.0,19.0,1.6524046287155225,78.5
32322.0,TEXAS STATE NATURAL GAS,2025.0,110.065,1.67572972560237,78.1
1688.0,"BRADY MUNICIPAL GAS CORP, CITY OF",2024.0,89.07,1.7261008571048861,77.5
31348.0,ATMOS ENERGY CORPORATION - MID-TEX,2025.0,33793.0,1.739312936861765,77.3
2915.0,"CUSHING, CITY OF",2024.0,33.0,1.7671682247298162,76.9
22742.0,"WINONA, TOWN OF",2025.0,38.26,1.7917807679899216,76.6
3210.0,"DEL RIO GAS SYSTEM, CITY OF",2025.0,275.198,1.8265353355672136,76.1
4473.0,ATMOS ENERGY CORPORATION - WEST TEXAS,2025.0,8730.41,1.8359174076266884,76.0
20320.0,"UVALDE GAS DEPT, CITY OF",2025.0,106.0,1.8516706906071276,75.8
612.0,CITY OF ROCKPORT,2024.0,191.027,1.8885375958371917,75.3
6330.0,"GEORGE WEST, CITY OF",2025.0,31.84,1.9063647531809957,75.0
1684.0,"BRACKETTVILLE, CITY OF, HOUSING AUTH OF",2024.0,18.0,1.9092543113794846,75.0
11960.0,LYTLE MUNICIPAL SYSTEM,2023.0,20.74,1.9069990368161815,75.0
6110.0,"GARY, CITY OF",2025.0,196.0,1.933714770590992,74.7
18532.0,"TEXAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",2025.0,11425.23,1.9381342628122624,74.6
3310.0,DENVER CITY GAS SYSTEM,2025.0,46.412,1.953350003216967,74.4
18544.0,CITY OF ALPINE GAS DEPT,2025.0,72.497,1.9732513610924118,74.1
18594.0,"SPUR, CITY OF",2025.0,58.0,1.9735570761952224,74.1
11360.0,"LEFORS GAS DEPT, CITY OF",2022.0,16.0,2.0238207984508017,73.4
18764.0,"SWEENY GAS SYSTEM, CITY OF",2025.0,32.0,2.069407059406553,72.8
18568.0,"SPEARMAN GAS DEPT, CITY OF",2025.0,30.1,2.06779113672448,72.8
2812.0,"CORPUS CHRISTI, CITY OF - GAS DIV",2025.0,1763.329,2.080899576118675,72.7
17560.0,"ROBSTOWN GAS SYSTEM, CITY OF",2025.0,72.16,2.1198206381253235,72.1
19400.0,"THREE RIVERS GAS, CITY OF",2025.0,37.0,2.128841007402334,72.0
2152.0,CASTROVILLE UTILITY SYSTEM,2025.0,34.435,2.164242072843866,71.5
383.0,AMARILLO NATURAL GAS INC,2025.0,159.36,2.172305175043447,71.4
387.0,"ALTO NATURAL GAS CO, CITY OF",2025.0,81.295,2.222919183556751,70.8
18652.0,STOCKDALE NATURAL GAS SYSTEM,2025.0,31.26,2.2579789626466464,70.3
25109.0,"MARIETTA, CITY OF",2025.0,68.1,2.271162655309383,70.1
3410.0,"DILLEY GAS SYSTEM, CITY OF",2025.0,27.102,2.278046996331902,70.0
920.0,NATGAS INC.,2025.0,51.0,2.283748277309482,69.9
32024.0,"CENTERPOINT ENERGY INTRASTATE PIPELINES, INC.",2025.0,189.03,2.2860737668933995,69.9
2824.0,COTULLA MUNICIPAL GAS SYSTEM,2025.0,41.944,2.351513287725735,69.0
2308.0,"CHESTER, CITY OF",2025.0,40.5,2.3613990224568657,68.9
19340.0,TEXAS WESTERN MUNICIPAL GAS CORP,2018.0,143.52,2.4414680351715843,67.8
4180.0,EASTON MUNICIPAL GAS SYSTEM,2024.0,44.46,2.4457043154800786,67.7
3600.0,"DUMAS, CITY OF",2025.0,75.0,2.4777071506759056,67.3
40246.0,"RAVEN FOREST OPERATING, LLC",2020.0,6.54,2.487870691348247,67.2
13390.0,NEW SUMMERFIELD GAS CO,2024.0,104.58,2.487870691348247,67.2
18004.0,"SABINAL, CITY OF",2024.0,25.0,2.4878706913482476,67.2
31622.0,GREENLIGHT GAS LLC,2025.0,336.033,3.185588053435106,57.8
18648.0,"STINNETT GAS DEPT, CITY OF",2025.0,29.11,3.2171890855012983,57.3
30575.0,ONE GAS PIPELINE COMPANY L.L.C.,2019.0,97.85,3.7125590455726973,50.6
18736.0,SUNRAY UTILITIES SYSTEM,2025.0,22.0,3.9380054882021565,47.6
40804.0,STERLING CITY GAS DEPT,2025.0,25.0,4.180787175095625,44.3
41079.0,MAXIM PRODUCTION CO INC,2025.0,6.2,4.648813267605902,38.0
17058.0,STERLING NATURAL GAS INC,2022.0,25.0,6.429434142197584,14.0
40183.0,"FROSTWOOD ENERGY, LLC",2019.0,8.0,7.463612074044743,0.0
